Country,Region,BUA name,BUA size classification,Counts,Counts_1,Counts_2,Counts_3,Counts_4,Counts_5
England,Yorkshire and The Humber,Rufforth,Minor,650,346,346,346,346,346
England,West Midlands,Dudleston Heath,Minor,535,326,326,326,326,326
England,South East,Godstone,Minor,2650,3946,3946,3946,3946,3946
England,East Midlands,Charlesworth,Minor,855,346,347,347,347,347
England,North West,Rainow,Minor,620,348,348,348,348,348
England,North East,Hadston,Minor,2710,387,367,367,367,367
England,East Midlands,Bilsby,Minor,235,1486,1486,1486,1486,1486
England,South West,Marnhull,Minor,1465,986,968,968,968,968
England,South West,Bradworthy,Minor,725,968,968,968,968,968
England,South East,Burley Street,Minor,375,0,0,0,0,0
England,South East,Nettlebed,Minor,780,967,964,964,964,964
England,South West,Probus,Minor,2565,3674,3674,3674,3674,3674
England,West Midlands,Gorsley Common,Minor,665,364,364,364,364,364
England,South West,St Newlyn East,Minor,1040,864,348,348,348,348
England,West Midlands,Gospel End,Minor,845,346,346,346,346,346
England,South East,Twyford (Winchester),Minor,1480,20116,12067,12067,12067,12067
England,South East,Tower Hill,Minor,325,8366,8366,8366,8366,8366
England,South East,Durfold Wood,Minor,400,3500,3500,3500,3500,3500
England,East of England,Martlesham,Minor,1980,6847,6847,6847,6847,6847
England,South West,Kilve,Minor,355,67,67,67,67,67
England,South East,North Chailey,Minor,1010,3467,3467,3467,3467,3467
England,South East,Ninfield,Minor,1295,3468,3468,3468,3468,3468
England,North West,Hurst Green (Ribble Valley),Minor,940,1864,1864,1864,1864,1864
England,North West,Whitworth,Small,6715,3467,3467,3467,3467,3467
England,North West,Standish,Small,12940,5846,5846,5846,5846,5846
England,Yorkshire and The Humber,Driffield,Small,13215,16342,17362,17362,17362,17362
England,South East,Midhurst,Small,5370,13076,13076,13076,13076,13076
England,North West,Wigton,Small,5395,3468,3467,3467,3467,3467
England,East Midlands,Stapleford,Small,15045,34067,34067,34067,34067,34067
England,East of England,Yaxley (Huntingdonshire),Small,9405,3467,2867,2867,2867,2867
England,West Midlands,Bayston Hill,Small,5220,3867,3867,3867,3867,3867
England,South East,Weybridge,Small,15915,53400,53406,53406,53406,53406
England,South East,Godalming,Small,10450,35466,35966,35966,35966,35966
England,North East,Shiremoor,Small,6955,9367,9367,9367,9367,9367
England,East of England,Sawston,Small,7270,7368,7368,7368,7368,7368
England,East Midlands,Ashby-de-la-Zouch,Small,15120,15926,16329,16329,16329,16329
England,Yorkshire and The Humber,Moorends,Small,5195,3467,3467,3467,3467,3467
England,East Midlands,Horncastle,Small,7295,10368,10368,10368,10368,10368
England,Yorkshire and The Humber,Sherburn in Elmet,Small,8570,3068,3068,3068,3068,3068
England,South West,Somerton,Small,5100,13467,13467,13467,13467,13467
England,North West,Little Lever,Small,12525,18067,18367,18367,18367,18367
England,East Midlands,Lutterworth,Small,10520,10368,10368,10368,10368,10368
England,Yorkshire and The Humber,North Anston,Small,6605,3468,3467,3467,3467,3467
England,East of England,Wivenhoe,Small,7350,13067,13067,13067,13067,13067
England,North West,Littleborough,Small,12160,13467,13467,13467,13467,13467
England,North West,Shevington,Small,5320,4867,4867,4867,4867,4867
England,East Midlands,Long Eaton,Medium,37820,73465,73406,73406,73406,73406
England,South West,Newquay,Medium,24545,N/A,N/A,N/A,N/A,N/A
England,Yorkshire and The Humber,Barnsley,Medium,71405,94036,940668,940668,940668,940668
England,North East,Washington,Medium,51320,67958,67936,67936,67936,67936
England,North East,Billingham,Medium,33920,36845,36840,36840,36840,36840
England,South West,Trowbridge,Medium,43750,78659,78659,78659,78659,78659
England,North West,Dukinfield,Medium,21155,23481,23461,23461,23461,23461
England,West Midlands,Coseley,Medium,25205,14367,14367,14367,14367,14367
England,East Midlands,Kettering,Medium,63150,98670,986300,986300,986300,986300
England,West Midlands,Great Malvern,Medium,33185,34567,34567,34567,34567,34567
England,East Midlands,Spalding,Medium,30550,38400,38657,38657,38657,38657
England,South East,Burgess Hill,Medium,33355,35640,36400,36400,36400,36400
England,South West,Weymouth,Medium,55535,56900,56900,56900,56900,56900
England,South East,Shoreham-by-Sea,Medium,23660,32910,32910,32910,32910,32910
England,East Midlands,Wigston,Medium,34730,34657,34652,34652,34652,34652
England,East of England,Kempston,Medium,22785,35467,35467,35467,35467,35467
England,North East,Hebburn,Medium,21345,34672,34682,34682,34682,34682
England,West Midlands,Willenhall,Medium,49580,34657,34657,34657,34657,34657
England,East Midlands,Kirkby-in-Ashfield,Medium,21270,39467,46321,46321,46321,46321
England,East Midlands,Grantham,Medium,44905,78463,78463,78463,78463,78463
England,South West,Barnstaple,Medium,31275,40936,22306,22306,22306,22306
England,South West,Quedgeley and Hardwicke,Medium,21125,32846,32861,32861,32861,32861
England,North West,Kendal,Medium,28940,29306,29306,29306,29306,29306
England,North East,Sunderland,Large,168315,287000,287000,287000,287000,287000
England,South East,Gillingham (Medway),Large,108480,N/A,N/A,N/A,N/A,N/A
England,North West,Oldham,Large,110720,142675,142675,142675,142675,142675
England,West Midlands,Rugby,Large,78120,68987,68987,68987,68987,68987
England,South East,Guildford,Large,77880,146355,146355,146355,146355,146355
England,East of England,Southend-on-Sea,Large,182305,1634700,1634700,1634700,1634700,1634700
England,North West,Blackburn (Blackburn with Darwen),Large,124955,146375,146375,146375,146375,146375
England,South East,Maidstone,Large,109490,165000,167028,167028,167028,167028
England,Yorkshire and The Humber,Harrogate,Large,75515,76857,76857,76857,76857,76857
England,North West,Carlisle,Large,77730,114066,114063,114063,114063,114063
England,North West,Rochdale,Large,111255,223000,223000,223000,223000,223000
