Country,Region,BUA name,BUA size classification,Counts,Counts_1,Counts_2,Counts_3,Counts_4,Counts_5
England,Yorkshire and The Humber,Rufforth,Minor,650,1053,1053,1053,1053,1053
England,West Midlands,Dudleston Heath,Minor,535,1025,1025,1025,1025,1025
England,South East,Godstone,Minor,2650,6209,6209,6209,6209,6209
England,East Midlands,Charlesworth,Minor,855,1025,1025,1025,1025,1025
England,North West,Rainow,Minor,620,2809,2809,2809,2809,2809
England,North East,Hadston,Minor,2710,1056,1056,1056,1056,1056
England,East Midlands,Bilsby,Minor,235,3500,3500,3500,3500,3500
England,South West,Marnhull,Minor,1465,4500,4500,4500,4500,4500
England,South West,Bradworthy,Minor,725,1200,1200,1200,1200,1200
England,South East,Burley Street,Minor,375,N/A,N/A,N/A,N/A,N/A
England,South East,Nettlebed,Minor,780,1053,1053,1053,1053,1053
England,South West,Probus,Minor,2565,2907,2907,2907,2907,2907
England,West Midlands,Gorsley Common,Minor,665,1200,1200,1200,1200,1200
England,South West,St Newlyn East,Minor,1040,2500,2500,2500,2500,2500
England,West Midlands,Gospel End,Minor,845,100,100,100,100,100
England,South East,Twyford (Winchester),Minor,1480,5098,5096,5096,5096,5096
England,South East,Tower Hill,Minor,325,29000,29000,29000,29000,29000
England,South East,Durfold Wood,Minor,400,N/A,N/A,N/A,N/A,N/A
England,East of England,Martlesham,Minor,1980,10289,10289,10289,10289,10289
England,South West,Kilve,Minor,355,1200,1200,1200,1200,1200
England,South East,North Chailey,Minor,1010,2809,2809,2809,2809,2809
England,South East,Ninfield,Minor,1295,5096,5098,5098,5098,5098
England,North West,Hurst Green (Ribble Valley),Minor,940,1025,1053,1053,1053,1053
England,North West,Whitworth,Small,6715,5096,5096,5096,5096,5096
England,North West,Standish,Small,12940,3709,3809,3809,3809,3809
England,Yorkshire and The Humber,Driffield,Small,13215,15000,12000,12000,12000,12000
England,South East,Midhurst,Small,5370,4500,4500,4500,4500,4500
England,North West,Wigton,Small,5395,10857,10873,10873,10873,10873
England,East Midlands,Stapleford,Small,15045,5089,5096,5096,5096,5096
England,East of England,Yaxley (Huntingdonshire),Small,9405,2500,2500,2500,2500,2500
England,West Midlands,Bayston Hill,Small,5220,2095,2095,2095,2095,2095
England,South East,Weybridge,Small,15915,60894,60783,60783,60783,60783
England,South East,Godalming,Small,10450,39057,39057,39057,39057,39057
England,North East,Shiremoor,Small,6955,2095,2045,2045,2045,2045
England,East of England,Sawston,Small,7270,8000,10523,10523,10523,10523
England,East Midlands,Ashby-de-la-Zouch,Small,15120,42000,41057,41057,41057,41057
England,Yorkshire and The Humber,Moorends,Small,5195,4095,4095,4095,4095,4095
England,East Midlands,Horncastle,Small,7295,15700,15700,15700,15700,15700
England,Yorkshire and The Humber,Sherburn in Elmet,Small,8570,8053,8057,8057,8057,8057
England,South West,Somerton,Small,5100,4809,4809,4809,4809,4809
England,North West,Little Lever,Small,12525,10857,10895,10895,10895,10895
England,East Midlands,Lutterworth,Small,10520,20579,10857,10857,10857,10857
England,Yorkshire and The Humber,North Anston,Small,6605,6093,5096,5096,5096,5096
England,East of England,Wivenhoe,Small,7350,20859,20857,20857,20857,20857
England,North West,Littleborough,Small,12160,17093,17093,17093,17093,17093
England,North West,Shevington,Small,5320,1053,1053,1053,1053,1053
England,East Midlands,Long Eaton,Medium,37820,107245,50978,50978,50978,50978
England,South West,Newquay,Medium,24545,20561,20971,20971,20971,20971
England,Yorkshire and The Humber,Barnsley,Medium,71405,95061,95061,95061,95061,95061
England,North East,Washington,Medium,51320,20589,20897,20897,20897,20897
England,North East,Billingham,Medium,33920,39054,39054,39054,39054,39054
England,South West,Trowbridge,Medium,43750,60529,60521,60521,60521,60521
England,North West,Dukinfield,Medium,21155,20573,20583,20583,20583,20583
England,West Midlands,Coseley,Medium,25205,8000,8000,8000,8000,8000
England,East Midlands,Kettering,Medium,63150,98017,92100,92100,92100,92100
England,West Midlands,Great Malvern,Medium,33185,28000,28000,28000,28000,28000
England,East Midlands,Spalding,Medium,30550,31024,31024,31024,31024,31024
England,South East,Burgess Hill,Medium,33355,25000,25000,25000,25000,25000
England,South West,Weymouth,Medium,55535,71409,71409,71409,71409,71409
England,South East,Shoreham-by-Sea,Medium,23660,59074,59087,59087,59087,59087
England,East Midlands,Wigston,Medium,34730,29053,29057,29057,29057,29057
England,East of England,Kempston,Medium,22785,25000,25000,25000,25000,25000
England,North East,Hebburn,Medium,21345,17000,17000,17000,17000,17000
England,West Midlands,Willenhall,Medium,49580,27096,27098,27098,27098,27098
England,East Midlands,Kirkby-in-Ashfield,Medium,21270,29078,40978,40978,40978,40978
England,East Midlands,Grantham,Medium,44905,47000,47000,47000,47000,47000
England,South West,Barnstaple,Medium,31275,40273,40273,40273,40273,40273
England,South West,Quedgeley and Hardwicke,Medium,21125,12000,12000,12000,12000,12000
England,North West,Kendal,Medium,28940,97200,97200,97200,97200,97200
England,North East,Sunderland,Large,168315,275006,275006,275006,275006,275006
England,South East,Gillingham (Medway),Large,108480,120548,120548,120548,120548,120548
England,North West,Oldham,Large,110720,230879,230861,230861,230861,230861
England,West Midlands,Rugby,Large,78120,61305,61305,61305,61305,61305
England,South East,Guildford,Large,77880,105628,97104,97104,97104,97104
England,East of England,Southend-on-Sea,Large,182305,174892,174892,174892,174892,174892
England,North West,Blackburn (Blackburn with Darwen),Large,124955,129069,147035,147035,147035,147035
England,South East,Maidstone,Large,109490,127075,130292,130292,130292,130292
England,Yorkshire and The Humber,Harrogate,Large,75515,75000,74053,74053,74053,74053
England,North West,Carlisle,Large,77730,107842,107263,107263,107263,107263
England,North West,Rochdale,Large,111255,107956,107956,107956,107956,107956
England,South West,Weston-super-Mare,Large,84605,80592,80592,80592,80592,80592
England,South East,Basingstoke,Large,117210,197500,197248,197248,197248,197248
England,North West,Preston (Preston),Large,94490,132085,132000,132000,132000,132000
England,South West,Bournemouth,Large,196455,193745,194000,194000,194000,194000
England,North East,Hartlepool,Large,87995,92000,92000,92000,92000,92000
England,West Midlands,Tamworth,Large,76090,78064,78064,78064,78064,78064
England,East of England,Hemel Hempstead,Large,95985,124919,124919,124919,124919,124919
England,West Midlands,Solihull,Large,107735,214935,214905,214905,214905,214905
England,South West,Poole,Large,141005,153000,153000,153000,153000,153000
England,Yorkshire and The Humber,Halifax,Large,88115,95247,95247,95247,95247,95247
England,East of England,Stevenage,Large,94470,90235,90235,90235,90235,90235
England,South East,Crawley (Crawley),Large,120550,108500,108500,108500,108500,108500
England,West Midlands,Coventry,Major,344285,317450,317450,317450,317450,317450
England,South East,Reading,Major,203795,160208,160208,160208,160208,160208
England,East of England,Norwich,Major,200770,213096,213096,213096,213096,213096
England,East Midlands,Northampton,Major,243520,213947,213947,213947,213947,213947
England,Yorkshire and The Humber,Leeds,Major,536280,789100,789100,789100,789100,789100
England,Yorkshire and The Humber,Kingston upon Hull,Major,270810,270935,265375,265375,265375,265375
England,East Midlands,Leicester,Major,406580,329800,329800,329800,329800,329800
England,North West,Manchester,Major,470405,532200,532200,532200,532200,532200
England,Yorkshire and The Humber,Sheffield,Major,500535,518690,518621,518621,518621,518621
England,East Midlands,Derby,Major,275575,264380,269800,269800,269800,269800
England,North East,Newcastle upon Tyne,Major,286445,305714,307989,307989,307989,307989
England,West Midlands,Birmingham,Major,1121375,1078592,1078654,1078654,1078654,1078654
England,West Midlands,Wolverhampton,Major,234025,260805,260805,260805,260805,260805
England,South East,Brighton and Hove,Major,277105,280549,280549,280549,280549,280549
England,South East,Southampton,Major,249620,253600,253600,253600,253600,253600
England,South West,Plymouth,Major,266955,264000,264000,264000,264000,264000
England,East of England,Luton,Major,233525,203507,203507,203507,203507,203507
England,East Midlands,Nottingham,Major,299790,305940,305921,305921,305921,305921
England,North West,Liverpool,Major,506565,490534,490534,490534,490534,490534
England,Yorkshire and The Humber,Bradford,Major,333950,364578,364970,364970,364970,364970
England,South East,Portsmouth,Major,223305,205100,205100,205100,205100,205100
England,West Midlands,Stoke-on-Trent,Major,260560,263084,263084,263084,263084,263084
England,South West,Bristol,Major,425215,463000,463000,463000,463000,463000
