Country,Region,BUA name,BUA size classification,Counts,Counts_1,Counts_2,Counts_3,Counts_4,Counts_5
England,Yorkshire and The Humber,Rufforth,Minor,650,123,123,123,123,123
England,West Midlands,Dudleston Heath,Minor,535,0,0,0,0,0
England,South East,Godstone,Minor,2650,10300,10300,10300,10300,10300
England,East Midlands,Charlesworth,Minor,855,1043,1234,1234,1234,1234
England,North West,Rainow,Minor,620,1436,1436,1436,1436,1436
England,North East,Hadston,Minor,2710,123,123,123,123,123
England,East Midlands,Bilsby,Minor,235,0,0,0,0,0
England,South West,Marnhull,Minor,1465,434,434,434,434,434
England,South West,Bradworthy,Minor,725,1043,1043,1043,1043,1043
England,South East,Burley Street,Minor,375,0,0,0,0,0
England,South East,Nettlebed,Minor,780,1234,1043,1043,1043,1043
England,South West,Probus,Minor,2565,1434,1234,1234,1234,1234
England,West Midlands,Gorsley Common,Minor,665,0,0,0,0,0
England,South West,St Newlyn East,Minor,1040,1234,1234,1234,1234,1234
England,West Midlands,Gospel End,Minor,845,0,0,0,0,0
England,South East,Twyford (Winchester),Minor,1480,14300,14300,14300,14300,14300
England,South East,Tower Hill,Minor,325,0,0,0,0,0
England,South East,Durfold Wood,Minor,400,0,0,0,0,0
England,East of England,Martlesham,Minor,1980,10300,10300,10300,10300,10300
England,South West,Kilve,Minor,355,0,0,0,0,0
England,South East,North Chailey,Minor,1010,1030,1030,1030,1030,1030
England,South East,Ninfield,Minor,1295,1234,1234,1234,1234,1234
England,North West,Hurst Green (Ribble Valley),Minor,940,0,0,0,0,0
England,North West,Whitworth,Small,6715,14300,14300,14300,14300,14300
England,North West,Standish,Small,12940,14151,29151,29151,29151,29151
England,Yorkshire and The Humber,Driffield,Small,13215,14300,14300,14300,14300,14300
England,South East,Midhurst,Small,5370,6545,6545,6545,6545,6545
England,North West,Wigton,Small,5395,6380,6370,6370,6370,6370
England,East Midlands,Stapleford,Small,15045,13300,13300,13300,13300,13300
England,East of England,Yaxley (Huntingdonshire),Small,9405,4345,4345,4345,4345,4345
England,West Midlands,Bayston Hill,Small,5220,4445,4445,4445,4445,4445
England,South East,Weybridge,Small,15915,11500,11500,11500,11500,11500
England,South East,Godalming,Small,10450,22851,22851,22851,22851,22851
England,North East,Shiremoor,Small,6955,10400,10300,10300,10300,10300
England,East of England,Sawston,Small,7270,12300,12300,12300,12300,12300
England,East Midlands,Ashby-de-la-Zouch,Small,15120,15551,20700,20700,20700,20700
England,Yorkshire and The Humber,Moorends,Small,5195,0,0,0,0,0
England,East Midlands,Horncastle,Small,7295,5555,5555,5555,5555,5555
England,Yorkshire and The Humber,Sherburn in Elmet,Small,8570,10300,10300,10300,10300,10300
England,South West,Somerton,Small,5100,1043,1043,1043,1043,1043
England,North West,Little Lever,Small,12525,14300,14300,14300,14300,14300
