Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation,Percentage
E06000042,Milton Keynes,3,3 people in household,20168,17.83
E06000042,Milton Keynes,4,4 people in household,17498,15.47
E06000042,Milton Keynes,5,5 people in household,6312,5.58
E06000042,Milton Keynes,6,6 people in household,2152,1.9
E06000042,Milton Keynes,7,7 people in household,668,0.59
E06000042,Milton Keynes,8,8 or more people in household,376,0.33
E06000043,Brighton and Hove,0,0 people in household,0,0.0
E06000043,Brighton and Hove,1,1 person in household,42101,34.68
E06000043,Brighton and Hove,2,2 people in household,40770,33.58
E06000043,Brighton and Hove,3,3 people in household,18122,14.93
E06000043,Brighton and Hove,4,4 people in household,14243,11.73
E06000043,Brighton and Hove,5,5 people in household,4244,3.5
E06000043,Brighton and Hove,6,6 people in household,1380,1.14
E06000043,Brighton and Hove,7,7 people in household,352,0.29
E06000043,Brighton and Hove,8,8 or more people in household,190,0.16
E06000044,Portsmouth,0,0 people in household,0,0.0
E06000044,Portsmouth,1,1 person in household,27607,32.04
E06000044,Portsmouth,2,2 people in household,27805,32.27
E06000044,Portsmouth,3,3 people in household,13930,16.17
E06000044,Portsmouth,4,4 people in household,10788,12.52
E06000044,Portsmouth,5,5 people in household,4032,4.68
E06000044,Portsmouth,6,6 people in household,1291,1.5
E06000044,Portsmouth,7,7 people in household,476,0.55
E06000044,Portsmouth,8,8 or more people in household,225,0.26
E06000045,Southampton,0,0 people in household,0,0.0
E06000045,Southampton,1,1 person in household,33711,32.96
E06000045,Southampton,2,2 people in household,32884,32.15
E06000045,Southampton,3,3 people in household,15636,15.29
E06000045,Southampton,4,4 people in household,12333,12.06
E06000045,Southampton,5,5 people in household,4934,4.82
E06000045,Southampton,6,6 people in household,1822,1.78
E06000045,Southampton,7,7 people in household,593,0.58
E06000045,Southampton,8,8 or more people in household,378,0.37
E06000046,Isle of Wight,0,0 people in household,0,0.0
E06000046,Isle of Wight,1,1 person in household,22484,34.71
E06000046,Isle of Wight,2,2 people in household,25005,38.6
E06000046,Isle of Wight,3,3 people in household,8437,13.03
E06000046,Isle of Wight,4,4 people in household,5906,9.12
